Category,Table Name,Type,L3R3EE,L831ED,L831EE,L831EF,L831EG,L843EC,L862ED,LF4WEG,LF4XED,LF4XEE,LF4XEG,LF5AEG,LF5BEG,LF5CEG,LF5DEG,LF6JE0,LF8HED,LF9HED,LF9HEE,LF9JED,LF9KEC,LF9KEE,LF9RED,LF9SED,LF9TEE,LF9VEB,LF9WEB,LF9XEB,LFAAEB,LFABEB,LFACEB,LFAKEB,LFDJEA,LFDKEB,LFDLEC,LFDMEA,LFDNEB,LFDPEC,LFFCED,LFFDED,LFFEEE,LFG1EK,LFG1ER,LFG2EE,LFG2EF,LFG2EG,LFG2EJ,LFG2EL,LFG2EM,LFG2EP,LFG3EE,LFG3EF,LFG3EG,LFG3EK,LFG3EN,LFG7ED,LFG7EG,LFG8EF,LFG8EG,LFG9EH,LFGJED,LFGKEC,LFGKED,LFGLEF,LFGMEC,LFGMEE,LFGNEC,LFGNEE,LFGPEF,LFH9EC,LFH9ED,LFH9EE,LFH9EF,LFJ1EC,LFJ1EE,LFJ1EF,LFJ5EG,LFLEEC,LFLGEC,LFLMEA,LFLMEC,LFLMED,LFLNEC,LFLPE0,LFLPEA,LFLPEB,LFLPEC,LFLPED,LFLREA,LFLVEB,LFLWEB,LFLXE0,LFLXEC,LFMAE0,LFMAEB,LFMAEC,LFMSEA,LFN3ER,LFN4EK,LFN4EP,LFN5EN,LFZZE0,LFZZEA,LSYAEA
DBW - Brake Override,BOS - Delay Decay Rate,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Brake Override,BOS - Delay Multiplier,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Brake Override,BOS - Min APP Activation Threshold,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Brake Override,BOS - RPM Activation Threshold,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Brake Override,BOS - Target Idle Speed | In-Gear,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Brake Override,BOS - Target Idle Speed | Not In-Gear,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Brake Override,BOS - VSS Activation Threshold | In-Gear,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Brake Override,BOS - VSS Activation Threshold | Not In-Gear,1D,,,,,,,X,,,,,,,,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,
DBW - Cruise Control,CC Correction - Base,3D,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
DBW - Cruise Control,CC Correction Sensitivity - 1st Gear,2D,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
